date,shift,sl,Foffered,offered,Handled,Aband,ASA,staff,truegroup
7/1/2023 9:00,09:00 - 09:15 ,0.99,955,1206,1192,14,0.38,592,3
7/1/2023 9:15,09:15 - 09:30 ,0.96,1002,1067,1030,36,1.12,663,3
7/1/2023 9:30,09:30 - 09:45 ,0.84,1016,1117,1035,81,1.29,674,3
7/1/2023 9:45,09:45 - 10:00 ,0.67,998,1045,974,70,1.55,655,2
7/1/2023 10:00,10:00 - 10:15 ,0.81,1002,1124,1051,73,1.21,664,3
7/1/2023 10:15,10:15 - 10:30 ,0.27,1028,1097,947,150,2.14,652,0
7/1/2023 10:30,10:30 - 10:45 ,0.33,1052,1228,1043,181,2.17,642,0
7/1/2023 10:45,10:45 - 11:00 ,0.23,1059,1189,980,208,2.39,650,0
7/1/2023 11:00,11:00 - 11:15 ,0.18,1050,1201,994,207,2.6,646,0
7/1/2023 11:15,11:15 - 11:30 ,0.27,1035,1198,1025,173,2.28,648,0
7/1/2023 11:30,11:30 - 11:45 ,0.54,1018,1125,1015,109,1.71,654,1
7/1/2023 11:45,11:45 - 12:00 ,0.64,994,1052,950,100,1.62,650,1
7/1/2023 12:00,12:00 - 12:15 ,0.27,967,1007,835,171,2.27,581,0
7/1/2023 12:15,12:15 - 12:30 ,0.79,952,1091,1032,59,1.44,648,2
7/1/2023 12:30,12:30 - 12:45 ,0.96,942,1082,1038,44,0.95,662,3
7/1/2023 12:45,12:45 - 13:00 ,0.95,933,927,891,35,0.82,631,3
7/1/2023 13:00,13:00 - 13:15 ,0.28,930,934,753,181,2.25,521,0
7/1/2023 13:15,13:15 - 13:30 ,0.25,934,1034,869,165,2.29,538,0
7/1/2023 13:30,13:30 - 13:45 ,0.4,938,966,852,114,2.02,561,0
7/1/2023 13:45,13:45 - 14:00 ,0.56,938,965,879,86,1.71,567,1
7/1/2023 14:00,14:00 - 14:15 ,0.61,938,1075,983,90,1.66,608,1
7/1/2023 14:15,14:15 - 14:30 ,0.95,938,967,925,41,1.01,665,3
7/1/2023 14:30,14:30 - 14:45 ,0.98,938,951,938,12,0.43,672,3
7/1/2023 14:45,14:45 - 15:00 ,0.99,935,926,924,2,0.36,677,3
7/1/2023 15:00,15:00 - 15:15 ,0.98,931,915,901,13,0.41,639,3
