date,sl,offered,Aband,ASA,staff
9/1/2022 9:00,0.97,1286,27,0.37,604
9/1/2022 9:15,0.7,1130,64,1.26,684
9/1/2022 9:30,0.98,1023,12,0.5,702
9/1/2022 9:45,0.99,954,4,0.21,700
9/1/2022 10:00,0.98,1037,13,0.4,688
9/1/2022 10:15,0.89,1086,72,1.25,668
9/1/2022 10:30,0.43,1120,114,1.8,649
9/1/2022 10:45,0.58,1103,89,1.71,656
9/1/2022 11:00,0.5,1096,110,1.72,661
9/1/2022 11:15,0.93,1110,38,1.12,670
9/1/2022 11:30,0.98,1001,16,0.48,671
9/1/2022 11:45,0.99,965,3,0.22,672
9/1/2022 12:00,0.97,889,28,0.76,568
9/1/2022 12:15,0.99,1038,3,0.27,676
9/1/2022 12:30,0.99,898,2,0.23,661
9/1/2022 12:45,0.99,822,3,0.22,619
9/1/2022 13:00,0.47,784,93,1.76,516
9/1/2022 13:15,0.67,830,81,1.66,530
9/1/2022 13:30,0.9,803,51,1.29,544
9/1/2022 13:45,0.96,785,20,0.72,553
9/1/2022 14:00,0.99,882,1,0.34,589
9/1/2022 14:15,0.98,778,3,0.29,641
9/1/2022 14:30,0.99,862,1,0.25,645
9/1/2022 14:45,0.98,839,15,0.41,625
9/1/2022 15:00,0.97,861,24,0.77,605
9/1/2022 15:15,0.94,890,32,1.02,640
9/1/2022 15:30,0.97,885,21,0.78,639
9/1/2022 15:45,0.96,817,20,0.7,599
9/1/2022 16:00,0.97,844,20,0.76,587
9/1/2022 16:15,0.95,852,33,0.95,589
9/1/2022 16:30,0.85,854,63,1.21,595
9/1/2022 16:45,0.41,834,112,1.92,575
9/1/2022 17:00,0.22,945,163,2.33,519
9/1/2022 17:15,0.45,942,97,1.91,567
9/1/2022 17:30,0.95,923,32,1.17,589
9/1/2022 17:45,0.91,731,31,0.7,553
9/1/2022 18:00,0.89,850,64,1.07,519
9/1/2022 18:15,0.91,868,72,0.75,528
9/1/2022 18:30,0.93,856,55,0.74,519
9/1/2022 18:45,0.95,797,37,0.46,514
9/1/2022 19:00,0.66,776,106,1.33,456
9/1/2022 19:15,0.31,830,153,2.08,460
9/1/2022 19:30,0.5,808,135,1.79,481
9/1/2022 19:45,0.47,798,142,1.83,461
9/1/2022 20:00,0.38,819,146,1.98,466
9/1/2022 20:15,0.66,785,100,1.59,471
9/1/2022 20:30,0.91,779,59,1,498
9/1/2022 20:45,0.97,636,16,0.16,509
9/1/2022 21:00,0.94,63,4,0.41,460
9/1/2022 21:15,1,0,0,0,135
9/2/2022 9:00,0.96,1282,31,0.33,616
9/2/2022 9:15,0.17,1186,190,2.43,675
9/2/2022 9:30,0.32,1184,164,2.13,697
9/2/2022 9:45,0.26,1180,177,2.23,685
9/2/2022 10:00,0.2,1291,241,2.53,688
9/2/2022 10:15,0.11,1222,231,2.97,684
9/2/2022 10:30,0.17,1235,206,2.8,700
9/2/2022 10:45,0.19,1216,212,2.67,697
9/2/2022 11:00,0.15,1247,219,3.03,691
9/2/2022 11:15,0.21,1136,176,2.86,711
9/2/2022 11:30,0.35,1128,142,2.23,699
9/2/2022 11:45,0.4,1127,128,2.07,675
9/2/2022 12:00,0.16,1014,181,2.58,593
9/2/2022 12:15,0.88,1208,49,1.25,707
